time	I(R5)
0.000000000000000e+00	4.186064e-07
3.906249889523705e-12	4.186064e-07
1.562499955809482e-11	4.186064e-07
6.249999823237928e-11	4.186064e-07
1.249999964647586e-10	4.186064e-07
4.999999858590343e-10	4.186064e-07
1.999999943436137e-09	4.186064e-07
3.999999886872274e-09	4.186064e-07
7.999999773744548e-09	4.186064e-07
9.962687499999999e-06	4.186064e-07
9.978750000000003e-06	4.186064e-07
9.979500000000046e-06	4.186064e-07
9.980500000000102e-06	4.186064e-07
9.982500000000215e-06	4.186064e-07
9.986500000000440e-06	4.186064e-07
9.992999999999548e-06	4.186064e-07
9.995999999999999e-06	4.186064e-07
9.998000000000901e-06	4.186064e-07
9.999000000000902e-06	4.186064e-07
9.999999999999999e-06	4.186064e-07
1.000029999999973e-05	4.186064e-07
1.000034999999968e-05	4.186064e-07
1.000044999999959e-05	4.186064e-07
1.000047499999957e-05	4.186064e-07
1.000052499999953e-05	4.186075e-07
1.000062499999944e-05	4.190962e-07
1.000064999999941e-05	4.203586e-07
1.000065624999941e-05	4.246969e-07
1.000066509672519e-05	4.460689e-07
1.000066827428642e-05	4.728271e-07
1.000067097445517e-05	5.300369e-07
1.000067290617567e-05	6.156046e-07
1.000067466362995e-05	7.654654e-07
1.000067635602308e-05	1.030251e-06
1.000067799660432e-05	1.492954e-06
1.000067958215748e-05	2.289175e-06
1.000068111927400e-05	3.675221e-06
1.000068274878830e-05	6.275905e-06
1.000068424940739e-05	1.053106e-05
1.000068578419814e-05	1.815870e-05
1.000068724234223e-05	3.077700e-05
1.000068872650421e-05	5.287616e-05
1.000069017683397e-05	8.969997e-05
1.000069166195220e-05	1.530242e-04
1.000069315946509e-05	2.581736e-04
1.000069473891796e-05	4.352055e-04
1.000069644168960e-05	7.265027e-04
1.000069845128977e-05	1.219988e-03
1.000070128466825e-05	2.120422e-03
1.000070449511533e-05	3.308569e-03
1.000070841050054e-05	4.869567e-03
1.000071282845779e-05	6.678698e-03
1.000072014613806e-05	9.699383e-03
1.000100000000000e-05	1.254106e-01
1.002654014071089e-05	1.066873e+01
1.005208028142178e-05	2.117901e+01
1.007762042213267e-05	3.165627e+01
1.010316056284356e-05	4.210049e+01
1.012870070355445e-05	5.251169e+01
1.015424084426535e-05	6.288985e+01
1.017978098497624e-05	7.323499e+01
1.035857288254388e-05	1.450154e+02
1.055388538254388e-05	2.221022e+02
1.074919788254388e-05	2.976351e+02
1.094451038254388e-05	3.715638e+02
1.113982288254388e-05	4.438724e+02
1.133513538254388e-05	5.145461e+02
1.153044788254388e-05	5.835716e+02
1.172576038254388e-05	6.509367e+02
1.192107288254388e-05	7.166306e+02
1.211638538254388e-05	7.806438e+02
1.231169788254388e-05	8.429678e+02
1.250701038254389e-05	9.035955e+02
1.270232288254389e-05	9.625209e+02
1.289763538254389e-05	1.019739e+03
1.328826038254389e-05	1.129042e+03
1.367888538254389e-05	1.231487e+03
1.406951038254389e-05	1.327077e+03
1.465544788254389e-05	1.457655e+03
1.524138538254389e-05	1.572988e+03
1.574361752540103e-05	1.659220e+03
1.624584966825817e-05	1.735194e+03
1.674808181111531e-05	1.800909e+03
1.725031395397245e-05	1.856364e+03
1.775254609682959e-05	1.901561e+03
1.825477823968673e-05	1.936498e+03
1.875701038254387e-05	1.961176e+03
1.914763538254387e-05	1.974565e+03
1.934294788254387e-05	1.979232e+03
1.953826038254387e-05	1.982578e+03
1.973357288254387e-05	1.984626e+03
1.992888538254386e-05	1.985398e+03
2.012419788254386e-05	1.984918e+03
2.031951038254386e-05	1.983210e+03
2.051482288254386e-05	1.980298e+03
2.071013538254386e-05	1.976206e+03
2.110076038254386e-05	1.964584e+03
2.149138538254385e-05	1.948543e+03
2.188201038254385e-05	1.928289e+03
2.246794788254385e-05	1.890462e+03
2.305388538254385e-05	1.844328e+03
2.363982288254384e-05	1.790602e+03
2.422576038254384e-05	1.730001e+03
2.481169788254383e-05	1.663240e+03
2.520232288254383e-05	1.615661e+03
2.539763538254383e-05	1.591028e+03
2.559294788254383e-05	1.565868e+03
2.578826038254383e-05	1.540205e+03
2.598357288254383e-05	1.514065e+03
2.617888538254383e-05	1.487474e+03
2.637419788254383e-05	1.460457e+03
2.656951038254382e-05	1.433039e+03
2.676482288254382e-05	1.405243e+03
2.715544788254382e-05	1.348620e+03
2.754607288254382e-05	1.290781e+03
2.793669788254382e-05	1.231913e+03
2.852263538254381e-05	1.142084e+03
2.910857288254381e-05	1.050956e+03
2.969451038254381e-05	9.591023e+02
3.028044788254380e-05	8.670696e+02
3.081058181111523e-05	7.833128e+02
3.134071573968666e-05	7.009824e+02
3.187084966825808e-05	6.200784e+02
3.240098359682951e-05	5.406007e+02
3.293111752540093e-05	4.625494e+02
3.346125145397236e-05	3.859244e+02
3.399138538254378e-05	3.107258e+02
3.457732288254378e-05	2.311524e+02
3.496794788254378e-05	1.798403e+02
3.535857288254377e-05	1.300058e+02
3.555388538254377e-05	1.056642e+02
3.574919788254377e-05	8.171709e+01
3.594451038254377e-05	5.817197e+01
3.613982288254377e-05	3.503602e+01
3.633513538254377e-05	1.231599e+01
3.653044788254377e-05	-9.981762e+00
3.672576038254377e-05	-3.185125e+01
3.692107288254376e-05	-5.328687e+01
3.711638538254376e-05	-7.428339e+01
3.750701038254376e-05	-1.149401e+02
3.789763538254376e-05	-1.537869e+02
3.828826038254376e-05	-1.907952e+02
3.887419788254375e-05	-2.428115e+02
3.946013538254375e-05	-2.905854e+02
4.004607288254375e-05	-3.340887e+02
4.063201038254374e-05	-3.733179e+02
4.116214431111516e-05	-4.049838e+02
4.169227823968659e-05	-4.333478e+02
4.222241216825802e-05	-4.584099e+02
4.275254609682945e-05	-4.801701e+02
4.328268002540087e-05	-4.986284e+02
4.381281395397230e-05	-5.137848e+02
4.434294788254372e-05	-5.256393e+02
4.492888538254372e-05	-5.354594e+02
4.531951038254371e-05	-5.400414e+02
4.571013538254371e-05	-5.431061e+02
4.590544788254371e-05	-5.440847e+02
4.610076038254371e-05	-5.447024e+02
