time	V(vout)
0.000000000000000e+00	1.201195e-24
2.285714276581023e-11	1.104468e-24
4.571428553162046e-11	1.114055e-24
6.857142829743069e-11	1.229959e-24
9.142857106324091e-11	1.452178e-24
1.142857138290511e-10	1.780713e-24
1.371428565948614e-10	2.215564e-24
1.599999993606716e-10	2.756730e-24
3.199999987213431e-10	6.576737e-16
6.399999974426862e-10	1.314559e-12
7.580928132988477e-10	7.270009e-12
8.248474454696643e-10	1.686187e-11
8.622244752974284e-10	2.237810e-11
8.935566830105953e-10	2.398315e-11
9.206005961562771e-10	2.400361e-11
9.495737295664247e-10	2.399814e-11
1.000000000000000e-09	2.399692e-11
1.005042627043358e-09	2.399815e-11
1.015127881130073e-09	2.399945e-11
1.035298389303503e-09	2.400006e-11
1.075639405650363e-09	2.400010e-11
1.156321438344084e-09	2.400009e-11
1.317685503731525e-09	2.400009e-11
1.640413634506407e-09	2.400009e-11
2.285869896056171e-09	2.400009e-11
3.576782419155700e-09	2.400009e-11
6.158607465354757e-09	2.400009e-11
1.132225755775287e-08	2.400008e-11
2.164955774254910e-08	2.400008e-11
4.230415811214156e-08	2.400007e-11
8.361335885132648e-08	2.400005e-11
1.662317603296963e-07	2.400001e-11
3.314685632864360e-07	2.399993e-11
6.619421691999153e-07	2.399977e-11
1.322889381026874e-06	2.399946e-11
2.644783804680791e-06	2.399882e-11
2.645783804680791e-06	2.399882e-11
2.647783804680790e-06	2.399882e-11
2.651783804680789e-06	2.399882e-11
2.659783804680786e-06	2.399882e-11
2.675783804680780e-06	2.399881e-11
2.707783804680769e-06	2.399879e-11
2.771783804680747e-06	2.399876e-11
2.899783804680702e-06	2.399870e-11
3.155783804680613e-06	2.399858e-11
3.667783804680435e-06	2.399833e-11
3.977000000000355e-06	2.399818e-11
4.382567609360157e-06	2.399799e-11
4.383567609360157e-06	2.399799e-11
4.385567609360156e-06	2.399799e-11
4.389567609360155e-06	2.399799e-11
4.397567609360152e-06	2.399798e-11
4.413567609360147e-06	2.399797e-11
4.445567609360136e-06	2.399796e-11
4.509567609360113e-06	2.399793e-11
4.637567609360069e-06	2.399787e-11
4.745000000000088e-06	2.399782e-11
4.786135218719960e-06	2.399780e-11
4.868405656159702e-06	2.399776e-11
4.869405656159702e-06	2.399776e-11
4.871405656159701e-06	2.399776e-11
4.875405656159700e-06	2.399775e-11
4.883405656159697e-06	2.399775e-11
4.899405656159691e-06	2.399774e-11
4.931405656159680e-06	2.399773e-11
4.937000000000022e-06	2.399772e-11
4.948188687680704e-06	2.399772e-11
4.970566063042069e-06	2.399771e-11
4.971566063042069e-06	2.399771e-11
4.973566063042068e-06	2.399771e-11
4.977566063042067e-06	2.399770e-11
4.985566063042064e-06	2.399770e-11
4.986566063042064e-06	2.399770e-11
4.988566063042063e-06	2.399770e-11
4.992566063042062e-06	2.399770e-11
4.993000000000002e-06	2.399770e-11
4.993867873915883e-06	2.399770e-11
4.995603621747644e-06	2.399769e-11
4.997528504336476e-06	2.399769e-11
4.998528504336476e-06	2.399769e-11
4.999000000000000e-06	2.399769e-11
4.999942991327048e-06	2.399769e-11
5.000999999999999e-06	2.399769e-11
5.001099999999999e-06	2.399769e-11
5.001300000000000e-06	2.399770e-11
5.001599999999999e-06	2.399770e-11
5.002000000000000e-06	2.399770e-11
5.002040000000000e-06	2.399770e-11
5.002120000000000e-06	2.399770e-11
5.003560000000001e-06	2.399770e-11
5.005000000000002e-06	2.399770e-11
